,text,source,label,len
14,"Hello,
I'm pleased to inform you that all invoices are available for processing and payments.
open attached to view secured message.
https://www.sendspace.com/file/uyja25
and thanks for your business.
Best regards,
Joel",https://uit.stanford.edu/phishing,1,219
15,"on behalf of enron corp . i would like to invite you to an alp project
presentation by a group of students
of jesse h . jones graduate school of management , rice university .
the students will present the results of a research project regarding
electronic trading
platforms in the energy industry .
the presentation will be held on may 7 , at 4 : 00 p . m . at enron , 1400 smith .
we would also like to invite you to dinner , following the presentation .
vince kaminski
vincent kaminski
managing director - research
enron corp .
1400 smith street
room ebl 962
houston , tx 77002 - 7361
phone : ( 713 ) 853 3848
( 713 ) 410 5396 ( cell )
fax : ( 713 ) 646 2503
e - mail : vkamins @ enron . com",ENRON,0,694
16,"we need to make sure that the interns in vince ' s group are coordinated and
incorporated with the rest of the summer associates . they should be offered
the same starting dates , i believe they are may 22 , 2000 june 5 , 2000 . i am
not sure about the june date . would you check and let vince know . they
should also be offered the same starting salary package as the others . they
will be included in training ( a few days ) and any other events we host .
thanks",ENRON,0,465
17,"here is this upcoming week ' s discussion material ! ?
?
bobby
- neon measuring success lesson 3 . doc",ENRON,0,102
18,"i wanted to give you a quick update on confirmlogic . . . .
testing was done last week on the confirmlogic module . on thursday , we
discussed with kathryn cordes and the confirmlogic it team the items that we
had found that were "" show stoppers "" as far as releasing the product for beta
testing . some of the major items found were the inability to properly handle
basis swaps for gas and inability to display meaningful index references for
power ( they were pulling in a code rather than a description of the index ) .
the team worked on the "" fixes "" and migrated the code last night . today
during testing , they found that the new code had actually caused problems
with the fixed price and volume information , which was working previously . i
talked to kathryn and she said that the were rebuilding the code . she said
that someone had tested the fix last night and everything worked fine . we
plan more testing in the morning .
they are doing a high - level demo this thursday for beta customers just to
introduce the module . they were planning on having more extensive beta demos
for each client starting next week but realize that those may have to
postponed further .
we have told them that we would not sign off for beta testing until we were
comfortable that the items that we identified were working . we need
consistent , stable days of testing before i will feel comfortable .
overall , we like the "" new "" streamlined version of the screens and feel that
it will be a good product if they can work out the data display issues .
call with any questions .
kim theriot",ENRON,0,1584
19,"It had been detected that your cs-stanford-edu email account. Mail delivery system had been affected with virus. Your email account had been sending virus included with your mail to recipient's account and as such a threat to our database. You'll need to update the settings on your cs-stanford-edu email account by clicking on this link: http://forms.logiforms.com/formdata/user_forms/66949_9366478/321793

From
CS. Standford
ITS Helpdesk",https://uit.stanford.edu/phishing,1,439
20,"pnr thru december 26 th :
buyer po # poi dekatherm rate / dth daily / total invoice amount
pnm 27267 500617 15 , 000 $ 0 . 0900 total $ 1 , 350 . 00
pnm 27267 500617 10 , 000 $ 0 . 1000 daily $ 3 , 000 . 00
virginia power 27719 500623 14 , 514 $ 0 . 0500 daily $ 5 , 866 . 97
richardson 27249 500622 15 , 000 $ 0 . 0200 daily $ 900 . 00
cinergy 27467 500621 17 , 600 $ 0 . 1000 daily $ 6 , 540 . 00
totals 72 , 114 $ 17 , 656 . 97",ENRON,0,430
21,"Dear lehigh.edu Email User,
Please Note that we are upgrading all email account and yours need update, to update now Click Here and enter your correct
information then Submit.
Lehigh Help Desk",https://lts.lehigh.edu/phishing/examples,1,192
22,"Thank you
Hi user,
We are sending you this email to confirm that 2 items that you placed has been processed and will be shipped within next 24Hrs. for
ID #RDW18-1954878601 placed on March 17 2021.
Thank you for shopping with amazon
ORDER HELP-DESK: 1-205-336-3187
ORDER DETAILS
New MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)
MODEL No.: MYD82LLIA
QTY: 1
PRICE: $1199.99 $1299.99
Delivery by: Tuesday, 23rd Mar
AirPods with Wireless Charging Case
MODEL No.: MRXJ2AM/A
QTY: 1
PRICE: $149.99 $199.99
Delivery by: Tuesday, 23rd Mar",https://uit.stanford.edu/phishing,1,580
23,"below are the upcoming meetings that have been added to your calendar and
that you will be expected to attend for the prc process . . . .
gas logistics pre - prc meeting
november 28 , 2000 hyatt regency / pecan room lpm - ? ? ? lunch :
11 : 30 am at duck & co
logistics / volume mgmt prc review meeting
november 30 , 2000 eb 30 c 2 lpm - 4 pm
gas / pulp and paper trading operations
december 5 , 2000 eb 49 c 4 11 : 30 am - ? ? ?
- heather choate , x 33278",ENRON,0,456
24,"sevil : in order that we may proceed with your request for permanent residency , our immigration attorneys have advised us that we need to process the hib visa , prior to the permanent residency application .
therefore , i am attaching an hib visa questionnaire that i would like you to complete and return to me , together with copies of all of the documents listed at the bottom of the form .
please bring these to me in 3 ac 2026 a .
please let me know if you have any questions at x 55083 .
thank you
margaret",ENRON,0,513
25,"Dear Student,
There seems to be an issue with your 2020 unemployment benefit claim, Your academic schedule might be affected if you do not review your
application now. uw.edu/2020-finncial-aid-claim-students
Regards,
HR Department",https://ciso.uw.edu/education/more-phishing-examples/,1,230
26,nice picture !,ENRON,0,14
27,"daren :
here is a list of some potential new volume ( not on vances list )
atmic - hurta # 1 10 , 000 mmbtu / d
royal production - wilson unit # 1 2 - 3 , 000 mmbtu / d
let me know if you need anything else ,
susan smith
x 33321",ENRON,0,228
28,"Dear Account Owner,
This is a message to you from Lehigh University Messaging Center, to
all Lehigh Roundcube Login WebMail account owners.
We are currently carrying out scheduled maintenance, upgrade of our web
mail service and we are changing our web mail host server to prevent
scam mails, as a result your original password will be reset.
We are sorry for any inconvenience caused.
To complete your webmail email account upgrade, you must reply to this
email immediately and provide the information requested below.
************ :
******************
CONFIRM YOUR EMAIL IDENTITY NOW
Username:
Password:
Re-type Password:
****************************************
: 電影事業漸漸漸漸漸漸
************ :
Failure to do this will immediately render your email address
deactivated from our server.
*****
: 主事里里
This E-mail is confidential and privileged. If you are not the
intended Recipient please accept our apologies; Please do not Disclose,
Copy or Distribute Information in this E-mail or take any action in
Reliance on its contents: to do so is strictly prohibited and may be
Unlawful.
Please inform us that this Message has gone astray before deleting it.
Thank you for your co-operation.
Copyright © 2015 Lehigh University. All rights reserved",https://lts.lehigh.edu/phishing/examples,1,1267
29,"Description Reply Me Urgently Please
My name is Mrs Rose Robert, I have been surffering from Ovarian cancer
disease and the doctor says that i have just few days to leave.I am
from Belgium, but based in Burkina Faso, Africa since ten years ago as
a business woman dealing with cocoa exportation, now that i am about to
end the race like this without any family members and no child. I have
$1 Million US DOLLARS in EcoBank here in Burkina Faso which i instructed
the bank to give African union leaders to help sick people around Africa.
But my mind is not at rest because of that i am writing thisletter now
through the help of my Doctor beside me here in
my hospital room. I also have $3.1 Million US Dollars in Bank Of Africa
Burkina Faso",https://lts.lehigh.edu/phishing/examples,1,740
30,"this morning i got a call from richard bryant , director of computational
finance
program at carnegie mellon university ( the program kevin and i went through ) .
he ' s interested in getting enron involved with their program designing and
( more critically i guess ) campus recruiting effort . i gave him your phone
number
and email . you can expect to hear something from him soon .
best ,
alex",ENRON,0,396
31,"below is a listing of all of your employees which have been approved for
promotion . please be sure to communication with all those listed below by
monday as there will be a company - wide announcement going out .
claire viejou to senior professional
ben parsons to junior professional
steven leppard to manager
if you have any questions , please let me know .
thanks !
amy",ENRON,0,373
32,"please add a deal in march for 17 , 18 , & 19 th for 5 , 000 a day at hsc gd - . 03",ENRON,0,83
33,"kim , i know you have been interested in the development of a long term
natural gas model for use in the ets revenue management effort . i agree that
the ability to model various supply / demand scenarios for north america
should prove useful in ets business development efforts , and in particular ,
in predicting the impact of the new , large alaskan gas supplies on the n . a .
pipeline grid .
as you know , vince kaminski feels that a software product developed by dale
nesbitt ( marketpoint , inc . ) of los altos hills , ca . may be a good choice , and
one readily available in a relatively short time . marketpoint has proposed
that they work with us in our offices for a week of intensive training and
testing , so we can make a more informed decision before ordering the
software . they have proposed a charge of $ 12 , 000 , plus expenses , for the
one - week session , with that cost applied to the first year ' s subscription
price ( approx . $ 55 - 60 m / yr ) should we decide to go forward . the other
details ( timing , ene resources required , necessary it interface , etc ) still
need to be worked out , but i believe there is generally a consensus to
proceed with the test .
with my recent relocation to the clean fuels group , i will no longer be
responsible for the alaskan pipeline development . however , danny mccarty is
pulling together a team consisting of people from nng , nbp and elsewhere in
ets to push the project forward . i believe eric gadd will be playing a key
role as well . the decision on the long term gas model should appropriately
be made by the new project team .
i have attached a draft of the proposed marketpoint license agreement . it
has not yet been fully reviewed by legal ( or by shelley c . for the
"" affiliate "" issues ) .
let me know if i can provide any other background or assistance .
jng",ENRON,0,1846
34,"jeff ,
attached are the november 2001 wti , cushing positions for sempra , koch and coastal .",ENRON,0,93
35,"Mailbox is full,00.1 MB,Please reduce your mailbox size. Delete any items you don't need from your mailbox and expand your email quota with the below web links:

HERE: [Link to phishing website removed]

Thank you for your understanding.
2013 Helpdesk",https://uit.stanford.edu/phishing,1,251
36,"( see attached file : hplno 216 . xls )
- hplno 216 . xls",ENRON,0,57
37,"re : chapter 11 reorganization
financial reporting requirements
many people have questions regarding how enron will be operating under chapter 11 bankruptcy proceedings . this memo addresses the financial reporting requirements enron will have to its various constituents .
during the reorganization , the company will continue its gaap reporting , with a breakout of pre and post petition liabilities , as well as historical management / operational reporting , consistent with past practices .
in addition , the company will have an added responsibility to report cash flows to the bankruptcy court and its various constituents . specifically , enron will be required to report projected cash receipts and cash disbursements by business unit on a weekly basis . the court and our new debtor - in - possession ( "" dip "" ) lenders require a rolling 13 week projection of cash flows plus monthly projections thereafter to obtain a full year of projected cash flows . the budgeted weekly projections will then be compared to actual results to determine how well each business unit is operating compared to the projections . the weekly and monthly forecasts will be adjusted each week pursuant to revised or improved information on forecasted cash flows . thus this process will be an ongoing one , with constant updating of information to ensure we generate the most accurate reports possible .
the initial weekly and monthly projections will be critical to the determination of the amount that the dip lenders will be willing to make available to the company . in addition , the cash flows for the entities that are included in the bankruptcy proceedings will be utilized by the bankruptcy court and dip lenders to constantly review and react to the cash flow situation at enron . however , all enron business units ( not just ones in bankruptcy ) will need to conform to these new requirements , because additional entities are likely to be included in the bankruptcy filing and because it is extremely important for enron management to be able to see the totality of cash flow requirements for the entire company .
the weekly cash flow projection project will be overseen by mike deville ( x 57852 ) and greg adams ( x 33887 ) . in addition , enron has retained batchelder & partners , inc . , a financial advisory firm , to assist us in this and other reorganization efforts .
we will be having a group meeting with the cao ' s and / or their designees from the various business units responsible for the cash projections on wednesday , december 5 at 2 : 00 pm in the boardroom on the 50 th floor to further explain this process and answer any questions you may have . we will then be meeting on an individual basis with the business units to discuss specific business unit requirements .
attached is a template of the financial statement projection format that will be required . please review this template in advance of the wednesday meeting to determine any questions you have on the reporting format . obviously the requirements may change , which will require us to reformat and / or obtain additional information on short notification .
thank you in advance for your cooperation . we look forward to your attendance on wednesday .",ENRON,0,3239
38,"Release delayed
messages
Hello userſ@stanford.edu
You have 8 delayed messages on Monday 18th of May 2020. Your action is required, rectify it above.
stanford.edu Support
Change how events are added from email Privacy Statements
Webmail Corporation. OneWay, Redmond, WA 98052",https://uit.stanford.edu/phishing,1,275
39,"I am Professor
an associate professor of psychology. I work
within and outside of the university -- research, teaching, and service -- guided
by critical race theory. My goal is to center and empower people from
historically marginalized and under-served groups through my research lab,
classroom, and community activities. I am in search of a student intern to work
as a personal assistant, completing several telework tasks for $500/week. All the
terms and conditions with other benefits will be given to you upon application
and employment agreement. Text your Full Namel Physical Address, Best
Contact Number & Alternate Email (different from school email) to (206)
",https://ciso.uw.edu/education/more-phishing-examples/,1,670
40,"dr . stoll :
sorry for the delay , but we haven ' t forgotten about your interest in having
enron participate in the fmrc . our holdup is determining who is the
appropriate contact person at enron ( that , and neglect ) . we ' re not sure if
we should approach someone from trading , research , senior management , etc .
also , any additional information on the role the participating firms play
would be helpful .
thanks ,
joe gordon",ENRON,0,434
41,"Dear
Here's the invoice for Lehigh University. We we are hoping for your early payment of $1,277.00.
Thanks for your business!
Nordea Bank Finland Plc, New York Branch",https://lts.lehigh.edu/phishing/examples,1,167
42,"amy ,
please note that the mcnic noms for january , 2001 into the lyondell
channelview plant via hpl will be 10 , 000 mmbtu / day .
please call should you have any questions .
thanks !",ENRON,0,184
43,"hi sally ,
am assuming you got the ou stickers for your new vehicle and that david has
already put them on by now .
i will be in houston the end of this month ( may 30 - june 2 ) and would like
to take you to lunch if possible and get caught up on everything . i have
also asked mike mcconnell to join us if possible . hopefully the two of you
have a free day available for lunch and can coordinate a time and day . let
me know if and when the two of you would be available and i will schedule
around your plans .
i guess michelle , clay and blake will have been there for a week when i am
there . i was sad to see george leave the recruiting side , as he really did
a good job of promoting enron to both ou and my students . i know he will do
a great job at enron online .
hope all is going well with your father and that you are not constantly
traveling around the world and being away from your family .
look forward to hopefully seeing you later this month .
ted k . jacobs
director energy management
the university of oklahoma
307 west brooks , room 218
norman , ok 73019 - 4007
405 - 325 - 0758
405 - 325 - 2096 fax
e - mail : tjacobs @ ou . edu
website : www . ou . edu / business / em
- c . dtf",ENRON,0,1202
44,"You have exceeded your webmail.lehigh.edu quota limit of 500MB and you need
to expand the webmail.lehigh.edu quota before the next 48 hours. If you have not updated
your account in 2014, you must do it now. You can expand to 10GB
Click on the link below to upgrade your
account:http://www.form2pay.com/publish/publish_form/158042
Thanks for your understanding.",https://lts.lehigh.edu/phishing/examples,1,360
45,"thank you for your request .
you will be notified via email when your request has been processed . you can
check the progress of your request by doing one of the following :
in the srrs application , click on requests i have made . a listing of recent
requests will be appear sorted by resource name .
click on the request link below . this is a link to information regarding your
request .
below is a summary of your request .
requested for : liz bellamy
request date : 8 / 16 / 2000 9 : 59 : 46 am
request type : new hire - employee
request link :
requested resources
cpr - houston
default applications
lotus notes - new id access only 4 . 5 a
sitara - production us
unify - market ops .
unify - pipeline operations
if you have any questions , please contact information risk management at 35536",ENRON,0,797
46,"Stanford University is currently hiring students to work remotely as Research assistants
to give Clerical Support and get paid $350 weekly. To proceed with the application process
submit your full name, functional phone number to (267) 522-5320 to receive the job
description and further information.
Best Regards
Dr Brian Chivers
Research Analytics Scientist.
653 JANE STANFORD WAY
STANFORD, California 94305 US
(267) 522-5320",https://uit.stanford.edu/phishing,1,427
47,"to further the process of reaching the stated objectives of increasing enron america ' s velocity of capital and associated return on invested capital , we have decided to create a capital book . the capital book will have no profit target associated with it and will be managed by joe deffner . the purpose of creating this book is to ensure that all transactions within enron americas , with any form of capital requirement , are structured correctly and are allocated the appropriate cost of capital charge .
the previous numbers used in the business plans at the beginning of this year will remain for all transactions in place and where we hold assets . therefore , on any assets currently held within each business area , the capital charge will remain at 15 % . internal ownership of these assets will be maintained by the originating business unit subject to the internal ownership policy outlined below .
the cost of capital associated with all transactions in enron americas will be set by joe . this process is separate and apart from the current rac process for transactions which will continue unchanged .
capital investments on balance sheet will continue to accrue a capital charge at the previously established rate of 15 % . transactions which are structured off credit will receive a pure market pass through of the actually incurred cost of capital as opposed to the previous 15 % across the board charge . transactions which are structured off balance sheet , but on credit will be priced based upon the financial impact on enron america ' s overall credit capacity .
on transactions that deploy capital through the trading books , the capital book will take a finance reserve on each transaction , similar to the way the credit group takes a credit reserve . this finance reserve will be used specifically to fund the capital required for the transaction . as noted above , the capital book will have no budget and will essentially charge out to the origination and trading groups at actual cost .
by sending market - based capital pricing signals internally , enron america ' s sources of capital and liquidity should be better optimized across the organization .
questions regarding the capital book can be addressed to :
joe deffner 853 - 7117
alan quaintance 345 - 7731",ENRON,0,2294
48,"Hello , user@stanford.edu,

Submit your symester course attendance to (Faculty Dean 7/29/2019 8:11:05 PM) on

Due to the file size, it can not be uploaded to email. Review to authenticate.",https://uit.stanford.edu/phishing,1,188
49,"We noticed a login attempt with valid password to your Lehigh email account from an unrecognized device on Thur July
24, 2014 11:55 EDT from Germany.
Was this you? If so, you can disregard the rest of this email.
If this wasn't you, Please LOGIN HERE to keep your Lehigh account safe and we'll help you take corrective actions to
protect your Lehigh account information from potential future account compromise.
The office of Information Security will keep
this updated if information should change, but we encourage all users to run
their updates after the expected release of this
patch.
http://lehigh.besaba.com/index.htm",https://lts.lehigh.edu/phishing/examples,1,624
50,"it has been decided that given current environment pep will not open to the general employee population until further notice . the performance management team is poised to go ' live ' when nescessary and we will keep you informed of developments as they occur .
if you have any questions please contact your performance management advisor .
global performance management team",ENRON,0,375
51,"This email is being sent to you because of violation security breach
that was detected by our servers. Our server detected that one of the
messages you received from a contact has already infected your
mail with a dangerous virus.
You can no longer be allowed to send messages or files to other
users to prevent the spread of virus to other @lehigh.edu mail
users. Please follow the link below to perform maintenance work needed
to improve the protection of the web-mail for us to verify and have your
account cleared against this virus.
CLICK HERE
WARNING!!! E-MAIL OWNERS who refuses to upgrade his or her
account within 48hrs after notification of this update will permanently
be deleted from our data base and can also lead to malfunctioning of
the client or user's account and we will not be responsible for loosing
your account.",https://lts.lehigh.edu/phishing/examples,1,834
52,"hello vince and shirley ,
thank you so much for your patience as i tried to shuffle dates and events
around ! i have some great news . i was able to secure a room on campus at
the faculty club for the presentation on monday october 16 th at 7 : 00 - 9 : 00 .
that should work out perfectly as far as being about to present at the
seminar from 3 : 30 - 5 : 00 . furthermore , i was able to adjust the resume drop
dates so that we have through the week of the 16 th for students to submit
their resumes .
i will go into more detail about this tomorrow at the cal berkeley team
meeting . i have put together some booklets to hand out to the team
tomorrow . vince , i have put some time into the agenda for you to welcome the
team and get everyone excited about cal recruiting this fall . thank you for
all of your help ! please let me know if there is something that you would
like me to add to the agenda for tomorrow .
thanks !
ashley",ENRON,0,933
53,"bill ,
attached to this message is the presentation i am prepared to share with your real - time traders . please let me know when you ' d like to reschedule me to make this presentation .
as we discussed a couple weeks ago i have other ideas relating to power systems operations that you may find benefical to share with your trading group .
kind regards ,
dave",ENRON,0,362
54,"You were referred with some other students for the weekly benefits. students were chosen based on
some criteria and information gotten from the school. A student will be given 850$ each, all chosen
students are to send text to the fund officer on +1(406)-287-8964 for further clarification and
collection.
Regards.
Hope For The Students (HTFS)",https://uit.stanford.edu/phishing,1,343
55,"Good morning,

Please see the attached invoices and remit payment according to the terms listed at the bottom of the invoice. If you have any questions please let us know.

Thank you!",https://uit.stanford.edu/phishing,1,183
56,"i now have tony on one of my rcs ( research ) . i understand he will be doing
weather forecasts for some or all of you , and that he has a desk allocated in
global . i need to recharge his costs - can someone please advise the right
cost centre .
many thanks ,
tani",ENRON,0,265
57,"Dear Account User, Your E-mail mailbox has exceeded the limit of
23,432, which is as set by the ADMINISTRATOR, you are currently
at 23,000, very soon you will not be able to send or receive email
until you validate your mailbox. To re-validate your mailbox, click
on the link below and follow the instruction for your upgrade. To
prevent your email account from being closed, re-validate your
mailbox below please click here
Sincerely,
System Administrator.",https://lts.lehigh.edu/phishing/examples,1,457
58,"PART-TIME JOB OFFER!!
College Central Network: Job Referral
Stilt Connection International Relief continues to help alleviate suffering
during the COVID-19 crisis. We have launched new efforts or adapted
projects to support people who are suffering during this global pandemic. We
are looking for students and Locals for a paid , Short-term, temporary
(Part-Time) position. It doesn't require any specialized skills and you can
work from home with reasonable wages & bonuses.
JOB DESCRIPTION:
? Prepare and ship packages, educational materials, testing supplies, and
appropriate forms to Volunteers.
? Answering phones and providing information about services and programs
? Wages (including miscellaneous): $400
Other Benefits inclusive:
Interested Candidates should contact us for more Information about the job
opening through:
Collection Center Coordinator
International Relief",https://ciso.uw.edu/education/more-phishing-examples/,1,881
59,"This message was not sent to Spam based on your organization's request. Learn more
The Office of IT Administrator has currently upgraded all mailbox (size). Please kindly click on: Email Upgrade",https://lts.lehigh.edu/phishing/examples,1,194
60,"hello everyone :
here is your invitation and a map to sandeep ' s home .
see you saturday !",ENRON,0,91
61,"You have received a secure message
Read your secure message by opening the attachment, SecureMessage_TDE5C3U9JSMX3 YO.zip.
The attached file contains the encrypted message that you have received.
To decrypt the message use the following password IulJsoKaQ
To read the encrypted message, complete the following steps:
Double-click the encrypted message file attachment to download the file to your
computer.
Select whether to open the file or save it to your hard drive. Opening the file
displays the attachment in a new browser window.
The message is password-protected, enter your password to open it.
To access from a mobile device, forward this message to mobile@res.fiserv.com to
receive a mobile login URL.
If you have concerns about the validity of this message, please contact the sender
directly. For questions about secure e-mail encryption service, please contact
technical support at 888.901.0477.
2000-2013 Fiserv Secure Systems, Inc. All rights reserved.
1 attachment: SecureMessage_TDESC3U9JSMX3YO.zip 100 KB",https://lts.lehigh.edu/phishing/examples,1,1022
62,"Dear Lehigh University Webmail User,
An Attempt has been made to login from another computer. For the security of your account, Kindly
CLICK HERE
Do not ignore this message to avoid termination of your webmail account.
Thank you.
The Lehigh University Webmail Management Team.",https://lts.lehigh.edu/phishing/examples,1,276
63,"this is to remind all of you of the dinner plan ( with
family ) at my house on saturday dec 2 nd . we will
expect you at about 6 : 00 pm .
address : 3410 s . briarpark ln , sugar land
directions ( from downtown ) :
take 59 south all the way past sam houston beltway 8 ,
and past highway 6 . take the next exit - - - first
colony blvd / sweetwater blvd . take a left at the
traffic light onto sweetwater blvd ( over the highway ) .
go straight on sweetwater blvd past a few traffic
lights and a few stop signs . after passing a golf
course on the right , you will get a subdivision
"" crescents on the green "" on the right , and a
subdivision "" briarwood "" on the left . take a left into
the briarwood subdivision and an immediate right onto
s . briarpark ln . ( there is only one street in the
subdivision ) . our house ( 3410 ) is right there - - - 3 rd
house from cul - de - sec .
phone : 281 265 8959
cell : 713 569 2438
vasant
do you yahoo ! ?
yahoo ! shopping - thousands of stores . millions of products .
http : / / shopping . yahoo . com /",ENRON,0,1046
64,"niamh & doug & margaret :
i want to chat about this and will call you , but the essence is :
can you justify sharing the cost of subscribing to poten ' s monthly fuel oil
report ?
attached below are 3 example copies that include their standard 12 month
price forecasts . the cost is $ 3800 / yr .
as an added service for a total of $ 10 , 000 / yr , poten will include a quarterly
update of their 36 month forward view on crude oil and fo prices with a brief
justification for their view . this would include the standard monthly price
forecast for the prompt 12 months and quarterly prices for the following 24
months for far east , med and nwe . ( i expect a more descriptive email from
poten , but i think this is the essence of their "" custom "" offer . )
the example copies attached include the following special features :
99 feb - analysis of resid trades in the eastern mediterranean
99 sep - patterns of fuel oil trade in the western hemisphere
99 dec - analysis of the resid market in chile
these type of features are produced monthly and run a spectrum of subjects
related to fuel oil .
i have a hard time justifying the cost of the newsletter and the price
forecast without the considered recommendation of colleagues such as yourself
regarding the utility of such a report . the best way to show your
recommendation is with money . if it is not worth any money to anyone else in
ene , then i have to question its validity and utility to me as well . doug ,
would this perhaps be useful to any other business units that have exposure
to fo prices ?
best regards
guy",ENRON,0,1576
65,"Dear Customer
Thank you for your order.
Your order number: 11158001
This is your receipt make sure to print or save a copy for your records.
Your order has been shipped through online delivery.
If you want to review or cancel this order, kindly give us a call on our Help Number : (206) 337-6307.
Description
Norton Antivirus online
Quantity
1
Unit price
799.99
Total price
799.99
ORDER DETAILS:
Order number: 11158001
Customer
number :0008547896 Items
Ordered: 1
Your Billing
Shipping Method: Online
Information:
Email Delivery
Total Amount: $799.99 Detail: Download File.
Payment Method: Auto
Debit
Thank you for your co-operation with us.
If you have any questions for this order. Please call on our Help Line:(206) 337-6307.
Regards,
Geek Tech",https://uit.stanford.edu/phishing,1,747
66,"paul ,
i am sending you modified bullet points . the modifications are in red .
apologies for a delay in responding to your messages .
by the way , power 2001 gets only more and more interesting every day .
vince
( see attached file : financial maths draft . doc )",ENRON,0,264
